Date,SPY,TLT
2020-03-12,227.35890197753906,133.12522888183594
2020-03-13,246.79501342773438,130.11619567871094
2020-03-16,219.78977966308594,138.54318237304688
2020-03-17,231.6566619873047,129.3047637939453
2020-03-18,219.92723083496094,122.0103530883789
2020-03-19,220.39451599121094,125.33214569091797
2020-03-20,210.8968048095703,134.7565460205078
2020-03-23,205.50457763671875,140.30972290039062
2020-03-24,224.12396240234375,137.69796752929688
2020-03-25,227.47914123535156,137.38522338867188
2020-03-26,240.76158142089844,138.06137084960938
2020-03-27,233.5903778076172,141.74673461914062
2020-03-30,241.17637634277344,140.58021545410156
2020-03-31,237.58154296875,139.4391632080078
2020-04-01,226.88922119140625,141.39285278320312
2020-04-02,232.1248016357422,142.29002380371094
2020-04-03,228.76959228515625,142.62867736816406
2020-04-06,244.13523864746094,142.25619506835938
2020-04-07,244.38404846191406,140.7664337158203
2020-04-08,252.58767700195312,139.74220275878906
2020-04-09,256.4313659667969,139.99610900878906
2020-04-13,254.0901336669922,138.71792602539062
2020-04-14,261.5839538574219,138.6841278076172
2020-04-15,256.02587890625,142.35775756835938
2020-04-16,257.26092529296875,143.97451782226562
2020-04-17,264.21099853515625,142.04457092285156
2020-04-20,259.55615234375,143.18731689453125
2020-04-21,251.67515563964844,144.99029541015625
2020-04-22,257.26092529296875,143.50900268554688
2020-04-23,257.24249267578125,144.270751953125
2020-04-24,260.82818603515625,144.60931396484375
2020-04-27,264.5888671875,141.9175567626953
2020-04-28,263.3720703125,143.5513153076172
2020-04-29,270.266845703125,142.80638122558594
2020-04-30,267.7505187988281,141.13888549804688
2020-05-01,260.6622314453125,142.34744262695312
2020-05-04,261.38116455078125,141.67794799804688
2020-05-05,263.7961730957031,140.7710418701172
2020-05-06,262.0079345703125,138.4995574951172
2020-05-07,265.1695251464844,140.8134002685547
2020-05-08,269.55712890625,138.98263549804688
2020-05-11,269.6124267578125,137.8977813720703
2020-05-12,264.23858642578125,139.3131561279297
2020-05-13,259.5653991699219,140.2879180908203
2020-05-14,262.6716613769531,141.6609344482422
2020-05-15,263.879150390625,141.29649353027344
2020-05-18,271.9168395996094,138.19444274902344
2020-05-19,269.1239318847656,138.71151733398438
2020-05-20,273.6958312988281,139.1267852783203
2020-05-21,271.8062438964844,139.4742889404297
2020-05-22,272.32244873046875,140.3133544921875
2020-05-26,275.6775207519531,138.4317626953125
2020-05-27,279.779296875,138.17755126953125
2020-05-28,279.2632141113281,137.66897583007812
2020-05-29,280.50750732421875,138.65211486816406
2020-06-01,281.641357421875,137.71864318847656
2020-06-02,283.9733581542969,137.2178955078125
2020-06-03,287.7524719238281,135.39332580566406
2020-06-04,286.9966125488281,133.43289184570312
2020-06-05,294.35223388671875,132.48245239257812
2020-06-08,297.9102783203125,132.9916534423828
2020-06-09,295.68878173828125,134.5022430419922
2020-06-10,294.0388488769531,136.49656677246094
2020-06-11,277.0877990722656,139.07640075683594
2020-06-12,280.4061279296875,137.73558044433594
2020-06-15,283.0239562988281,137.81198120117188
2020-06-16,288.4714660644531,135.69886779785156
2020-06-17,287.2731628417969,136.2588653564453
2020-06-18,287.38385009765625,137.70166015625
2020-06-19,285.7414245605469,137.81198120117188
2020-06-22,287.57452392578125,137.8289337158203
2020-06-23,288.8984680175781,136.88693237304688
2020-06-24,281.5289611816406,138.3551025390625
2020-06-25,284.547119140625,138.75392150878906
2020-06-26,277.7886962890625,140.23915100097656
2020-06-29,281.8715515136719,139.79771423339844
2020-06-30,285.4822082519531,139.11891174316406
2020-07-01,287.48199462890625,138.8486785888672
2020-07-02,289.0650939941406,138.99314880371094
2020-07-06,293.5274658203125,138.42384338378906
2020-07-07,290.5,140.36953735351562
2020-07-08,292.7220153808594,139.80882263183594
2020-07-09,291.0556335449219,142.0348358154297
2020-07-10,294.0274353027344,141.32119750976562
2020-07-13,291.48138427734375,141.78839111328125
2020-07-14,295.2587890625,141.99240112304688
2020-07-15,297.9713439941406,141.3296356201172
2020-07-16,296.989990234375,142.0009307861328
2020-07-17,297.85101318359375,141.70355224609375
2020-07-20,300.258056640625,142.05184936523438
2020-07-21,300.89691162109375,142.13681030273438
2020-07-22,302.60968017578125,142.56166076660156
